,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,1 Death every X ppl,1 Test every X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,GDP_GA,pop_65_above,hosp_beds,Exports_of_goods_services,Agriculture_forestry_fishing_value_added,GDP_per_capital,Gross_capital_formation,Total_debt_service,Risk_of_impoverishing_expenditure_for_surgical_care,Air_transport_registered_carrier_departures_worldwide,High_technology_exports,date,country,Total Cases
24,190.0,12286.0,6.0,373115.0,365.0,3318.0,144.0,71168.0,2249.0,2793952.0,511526.0,14.0,445.0,2.0,35.0,1.0,3.8323524800789643,17.605761740270513,22.32,57.374357288911355,6.582240852162092,7978.662183928459,21.7370565497827,11.812037658503579,19.800000000000004,9595.2,10.8524526843768,2021-05-22,Slovakia,388719
25,1471.0,2761.0,9.0,374854.0,1463.0,7158.0,26.8,40732.0,292.0,6192860.0,655568.0,25.0,3421.0,2.0,156.0,1.0,1.40000000000001,15.2008413514816,3.2,65.0945839929757,6.79466882799274,6839.10383292452,29.1499946931726,10.456497351084,0.1,35741.0,4.2519624945480095,2021-05-22,Belarus,384773
26,466.0,6328.0,7.0,361532.0,421.0,5914.0,105.0,85435.0,1446.0,2577788.0,589215.0,12.0,691.0,2.0,107.0,2.0,3.0397502113099404,8.31383660521204,14.9,40.738217551382796,2.16536228867804,15727.9744915741,40.4227547205407,10.792003681690469,9.9,110042.0,0.9027694899262768,2021-05-22,Panama,373774
27,518.0,7883.0,27.0,341491.0,763.0,4361.0,123.0,86643.0,1931.0,1965385.0,481394.0,12.0,518.0,2.0,127.0,7.0,2.85892596800696,20.8601352345977,4.8,51.961073455510395,2.92000602707201,14944.356224893601,22.667272622711202,11.459251952286,0.1,27711.0,8.30437430303953,2021-05-22,Croatia,353735
28,3005.0,13857.0,77.0,279345.0,1634.0,52868.0,200.0,29293.0,1173.0,1368290.0,115817.0,34.0,853.0,9.0,254.0,7.0,2.21670563961031,7.338631645690559,26.0,24.9672622840166,12.221757582489099,3552.068143836529,19.8750108890925,10.388876549292199,25.9,49931.0,6.88586564864587,2021-05-22,Bolivia,346070
29,1071.0,4602.0,33.0,317069.0,680.0,15169.0,19.2,84583.0,1156.0,4734791.0,1188945.0,12.0,865.0,1.0,269.0,8.0,4.982350475111058,15.0610556287397,9.6,54.818493141138106,6.50458918722347,4697.98365238984,25.298927902035302,21.6350816587465,22.56,7240.0,2.567720053418109,2021-05-22,Georgia,336840
30,1266.0,12182.0,41.0,295170.0,986.0,26747.0,445.0,28009.0,1021.0,1424177.0,119394.0,36.0,979.0,8.0,106.0,3.0,1.04326175682073,8.593468556191901,16.9,48.624229465297496,10.2686663088611,3351.57344330192,17.7407629953108,15.740753564261198,0.9,36763.0,6.88586564864587,2021-05-22,Tunisia,334099
31,352.0,4851.0,12.0,319991.0,720.0,7393.0,158.4,32507.0,475.0,3446033.0,337174.0,31.0,2107.0,3.0,34.0,1.0,2.48015159147059,6.446389120395301,20.4,49.050627501642296,5.69538024963307,4805.75371765917,20.3077798481492,8.57623437651063,6.9,22254.0,12.84288934722392,2021-05-22,Azerbaijan,332235
32,3228.0,8235.0,120.0,272721.0,2205.0,49501.0,567.0,45831.0,1142.0,1231005.0,170730.0,22.0,876.0,6.0,448.0,17.0,-0.40185510068001,6.6208246955556,19.4,36.19999816321409,9.99986129760234,5380.9633218413,21.6958343677969,14.7129193178146,15.6,8090.0,7.1828442042319915,2021-05-22,Paraguay,330457
33,233.0,3459.0,7.0,297201.0,300.0,4541.0,59.0,58622.0,664.0,1800908.0,345914.0,17.0,1505.0,3.0,45.0,1.0,3.0323237176810247,7.330583248061259,28.139999999999997,27.244833847765516,10.745087903240723,5388.063731430629,21.100706115574138,13.258164133008759,21.939999999999998,42704.0,8.020672572160798,2021-05-22,Palestine,305201
34,1055.0,3606.0,3.0,235636.0,28.0,43443.0,322.0,25829.0,329.0,1506870.0,137683.0,39.0,3035.0,7.0,96.0,0.3,5.05216802016253,7.2983896575440586,28.0,23.0692820412923,5.22728892621582,8282.117130509208,26.003487021500696,24.735314467875,6.1,13796.0,4.92013635545842,2021-05-22,Dominican Republic,282685
35,381.0,4068.0,8.0,227080.0,1600.0,37753.0,513.0,2289.0,35.0,2682758.0,22836.0,437.0,28879.0,44.0,3.0,0.07,8.3640856990789,3.51669045500426,50.7,7.9399766087609,33.521071998115,855.7608851869031,35.2639839212175,28.9415243013271,22.759999999999998,119542.0,1.9556469700658616,2021-05-22,Ethiopia,268901
36,3469.0,3811.0,51.0,224787.0,2784.0,33411.0,499.0,75194.0,1094.0,2099892.0,602649.0,13.0,914.0,2.0,996.0,15.0,0.35044715308612195,14.9412404303739,7.1,27.750190305700997,6.45267020344877,17688.01500769,14.6394205120955,20.90561766823476,1.6,618248.0664,8.27126673407783,2021-05-22,Uruguay,262009
37,102.0,6072.0,5.0,246332.0,252.0,2197.0,109.0,63245.0,1508.0,1073756.0,266731.0,16.0,663.0,4.0,25.0,1.0,3.58048427077662,12.013119107018301,14.4,31.406603095774198,10.051650321461901,4494.01840306454,25.9521724380539,13.146631660434501,1.5,11899.0,2.9643910939784104,2021-05-22,Moldova,254601
38,1151.0,14670.0,59.0,186223.0,980.0,51797.0,90.0,2429.0,141.0,2715258.0,26097.0,412.0,7092.0,38.0,11.0,0.6,8.3640856990789,3.51669045500426,50.7,7.939976608760899,33.521071998115,855.760885186903,35.2639839212175,28.9415243013271,18.363278722982997,119542.0,8.080402644651164,2021-05-22,Egypt,252690
39,950.0,7996.0,19.0,226819.0,805.0,12291.0,5.0,13571.0,439.0,1380526.0,75816.0,74.0,2277.0,13.0,52.0,1.0,3.866856574905,4.9289843307773085,24.5,17.649123759795998,9.434214173880733,4638.63494319511,14.3107617984796,26.0547868680409,18.2,2623.0,4.92013635545842,2021-05-22,Guatemala,247106
40,1249.0,6133.0,40.0,83506.0,113.0,141921.0,536.0,23054.0,611.0,696560.0,69350.0,43.0,1638.0,14.0,124.0,4.0,2.6530662548035497,4.8281895240945705,16.8,39.918512672508896,10.753650447856698,2574.35675105143,22.7310906809155,11.694276912649,34.2,16602.0,1.96673134234875,2021-05-22,Honduras,231560
41,1010.0,2499.0,16.0,205575.0,960.0,13978.0,316.0,7829.0,88.0,3359014.0,118425.0,128.0,11350.0,8.0,36.0,0.6,3.4769583626560836,9.37438269655845,15.819999999999999,20.09114572421482,12.736684838519007,3252.4009686496606,28.52862308813918,31.17244486634886,15.8,50348.4,4.087038534465465,2021-05-22,Venezuela,222052
42,181.0,4386.0,15.0,210835.0,371.0,6659.0,106.4,74753.0,1478.0,1057145.0,356160.0,13.0,677.0,3.0,61.0,5.0,7.59999999853918,11.483667716908698,11.8,41.18896808947829,11.9883560296292,4622.738182088549,17.4475860274548,31.5020230577383,4.6,2133.0,9.79484516198133,2021-05-22,Armenia,221880
43,2719.0,809.0,15.0,193337.0,1815.0,20724.0,199.0,122528.0,461.0,4468716.0,2548255.0,8.0,2168.0,0.0,1550.0,9.0,1.9897135504040104,2.51880972865733,6.9,76.8414023649251,0.282447212233573,23443.4348283266,33.0770155988835,19.9481934683247,25.6,57321.0,1.06257050637448,2021-05-22,Bahrain,214870
44,87.8,9108.0,16.2,172005.0,587.4,22037.0,106.4,62266.0,2792.0,954240.0,292476.0,16.0,358.0,3.0,26.8,5.0,2.8310026025969703,17.2011511663132,5.9,40.4756867058676,5.60309353941517,6120.11262579357,21.971066093166105,10.715113578098402,1.2,108.0,5.27087753961025,2021-05-22,Bosnia and Herzegovina,203150
